Absorption and Emission cross sections are only a function of host glass composition,,
Yb-doped Germanosilicate Fiber Cross-sections,,
From R. Paschotta (www.rp-photonics.com),,
,,
Yb absorption and emission Cross-Sections for germanosilicate fibers,,
m,m^2,m^2
wavelength,absorption,emission
9.9000E-07,1.3687E-25,2.6471E-25
9.9050E-07,1.3434E-25,2.6282E-25
9.9100E-07,1.3181E-25,2.6092E-25
9.9150E-07,1.2928E-25,2.5902E-25
9.9200E-07,1.2676E-25,2.6023E-25
9.9250E-07,1.2423E-25,2.6175E-25
9.9300E-07,1.2170E-25,2.6327E-25
9.9350E-07,1.1917E-25,2.6478E-25
9.9400E-07,1.1664E-25,2.6630E-25
9.9450E-07,1.1411E-25,2.6782E-25
9.9500E-07,1.1227E-25,2.6934E-25
9.9550E-07,1.1113E-25,2.7085E-25
9.9600E-07,1.0999E-25,2.7259E-25
9.9650E-07,1.0885E-25,2.7543E-25
9.9700E-07,1.0771E-25,2.7828E-25
9.9750E-07,1.0658E-25,2.8113E-25
9.9800E-07,1.0544E-25,2.8397E-25
9.9850E-07,1.0430E-25,2.8767E-25
9.9900E-07,1.0316E-25,2.9222E-25
9.9950E-07,1.0202E-25,2.9677E-25
1.0000E-06,1.0088E-25,3.0310E-25
1.0005E-06,9.9747E-26,3.1069E-25
1.0010E-06,9.9558E-26,3.2144E-25
1.0015E-06,9.9558E-26,3.2775E-25
1.0020E-06,9.9558E-26,3.3155E-25
1.0025E-06,9.9558E-26,3.3534E-25
1.0030E-06,9.9558E-26,3.3927E-25
1.0035E-06,9.9558E-26,3.4382E-25
1.0040E-06,9.9558E-26,3.4837E-25
1.0045E-06,9.9558E-26,3.5321E-25
1.0050E-06,9.9558E-26,3.5890E-25
1.0055E-06,9.9558E-26,3.6460E-25
1.0060E-06,9.9558E-26,3.7204E-25
1.0065E-06,9.9362E-26,3.8028E-25
1.0070E-06,9.8223E-26,3.9166E-25
1.0075E-06,9.7085E-26,4.0304E-25
1.0080E-06,9.5947E-26,4.1442E-25
1.0085E-06,9.4809E-26,4.2325E-25
1.0090E-06,9.3670E-26,4.3084E-25
1.0095E-06,9.2532E-26,4.3843E-25
1.0100E-06,9.1394E-26,4.4668E-25
1.0105E-06,9.0256E-26,4.5806E-25
1.0110E-06,8.9117E-26,4.6945E-25
1.0115E-06,8.7979E-26,4.8083E-25
1.0120E-06,8.6841E-26,4.8965E-25
1.0125E-06,8.6283E-26,4.9723E-25
1.0130E-06,8.6283E-26,5.0201E-25
1.0135E-06,8.6283E-26,5.0656E-25
1.0140E-06,8.6283E-26,5.1119E-25
1.0145E-06,8.6283E-26,5.2258E-25
1.0150E-06,8.6283E-26,5.3396E-25
1.0155E-06,8.6283E-26,5.4277E-25
1.0160E-06,8.6283E-26,5.5035E-25
1.0165E-06,8.6283E-26,5.5618E-25
1.0170E-06,8.6283E-26,5.6187E-25
1.0175E-06,8.6283E-26,5.6756E-25
1.0180E-06,8.6283E-26,5.7325E-25
1.0185E-06,8.5317E-26,5.7894E-25
1.0190E-06,8.4179E-26,5.8463E-25
1.0195E-06,8.3041E-26,5.9033E-25
1.0200E-06,8.1903E-26,5.9602E-25
1.0205E-06,8.0764E-26,6.0171E-25
1.0210E-06,7.9626E-26,6.0672E-25
1.0215E-06,7.8488E-26,6.1127E-25
1.0220E-06,7.7350E-26,6.1582E-25
1.0225E-06,7.6211E-26,6.1948E-25
1.0230E-06,7.5073E-26,6.2274E-25
1.0235E-06,7.3935E-26,6.2599E-25
1.0240E-06,7.2796E-26,6.2924E-25
1.0245E-06,7.1658E-26,6.3159E-25
1.0250E-06,7.0520E-26,6.3334E-25
1.0255E-06,6.9382E-26,6.3509E-25
1.0260E-06,6.8243E-26,6.3684E-25
1.0265E-06,6.7105E-26,6.3859E-25
1.0270E-06,6.5967E-26,6.4034E-25
1.0275E-06,6.4829E-26,6.4209E-25
1.0280E-06,6.3690E-26,6.4376E-25
1.0285E-06,6.2552E-26,6.4169E-25
1.0290E-06,6.1414E-26,6.3962E-25
1.0295E-06,6.0275E-26,6.3755E-25
1.0300E-06,5.8912E-26,6.3548E-25
1.0305E-06,5.7345E-26,6.3341E-25
1.0310E-06,5.5779E-26,6.3134E-25
1.0315E-06,5.4212E-26,6.2706E-25
1.0320E-06,5.2645E-26,6.2137E-25
1.0325E-06,5.1078E-26,6.1568E-25
1.0330E-06,4.9511E-26,6.0999E-25
1.0335E-06,4.7945E-26,6.0430E-25
1.0340E-06,4.6378E-26,5.9861E-25
1.0345E-06,4.4811E-26,5.9291E-25
1.0350E-06,4.2424E-26,5.8722E-25
1.0355E-06,3.9517E-26,5.8153E-25
1.0360E-06,3.6610E-26,5.7531E-25
1.0365E-06,3.3703E-26,5.6772E-25
1.0370E-06,3.3186E-26,5.5812E-25
1.0375E-06,3.3186E-26,5.4812E-25
1.0380E-06,3.3186E-26,5.4053E-25
