Absorption and Emission cross sections are only a function of host glass composition,,
Fiber used for Measurement (for data traceability purposes):,,
Fiber ID: 10-A1307-10-3B-13-01,,
Part Number: LMA-YDF-25/250-VIII,,
Yb absorption and emission Cross-Sections for Gen VIII glass,,
m,m^2,m^2
wavelength,absorption,emission
8.3560E-07,1.3400E-26,0.0000E+00
8.3580E-07,1.3400E-26,0.0000E+00
8.3600E-07,1.3400E-26,0.0000E+00
8.3620E-07,1.3700E-26,0.0000E+00
8.3640E-07,1.3700E-26,0.0000E+00
8.3660E-07,1.3700E-26,0.0000E+00
8.3680E-07,1.4000E-26,0.0000E+00
8.3700E-07,1.4000E-26,0.0000E+00
8.3720E-07,1.4300E-26,0.0000E+00
8.3740E-07,1.4300E-26,0.0000E+00
8.3760E-07,1.4300E-26,0.0000E+00
8.3780E-07,1.4500E-26,0.0000E+00
8.3800E-07,1.4500E-26,0.0000E+00
8.3820E-07,1.4800E-26,0.0000E+00
8.3840E-07,1.4800E-26,0.0000E+00
8.3860E-07,1.4800E-26,0.0000E+00
8.3880E-07,1.5100E-26,0.0000E+00
8.3900E-07,1.5100E-26,0.0000E+00
8.3920E-07,1.5400E-26,0.0000E+00
8.3940E-07,1.5400E-26,0.0000E+00
8.3960E-07,1.5700E-26,0.0000E+00
8.3980E-07,1.5700E-26,0.0000E+00
8.4000E-07,1.6000E-26,0.0000E+00
8.4020E-07,1.6000E-26,0.0000E+00
8.4040E-07,1.6000E-26,0.0000E+00
8.4060E-07,1.6300E-26,0.0000E+00
8.4080E-07,1.6300E-26,0.0000E+00
8.4100E-07,1.6600E-26,0.0000E+00
8.4120E-07,1.6600E-26,0.0000E+00
8.4140E-07,1.6900E-26,0.0000E+00
8.4160E-07,1.7200E-26,0.0000E+00
8.4180E-07,1.7200E-26,0.0000E+00
8.4200E-07,1.7200E-26,0.0000E+00
8.4220E-07,1.7400E-26,0.0000E+00
8.4240E-07,1.7700E-26,0.0000E+00
8.4260E-07,1.7700E-26,0.0000E+00
8.4280E-07,1.8000E-26,0.0000E+00
8.4300E-07,1.8000E-26,0.0000E+00
8.4320E-07,1.8300E-26,0.0000E+00
8.4340E-07,1.8600E-26,0.0000E+00
8.4360E-07,1.8900E-26,0.0000E+00
